searchTerms,synonyms,type,uniqueId
,"pyama papje;pyamapap;pyjamapapje;pyjamapapje",multi-way,1063_1611580148234
,"pipingbags;spuitzakken;spuitzak",multi-way,1064_1611580148234
cacaotruffels,"cacao truffels",one-way,1065_1611580148234
"ace vitamine drink","A+C+E;a.c.e",one-way,1066_1611580148234
stijfselspray,strijkspray,one-way,1067_1611580148234
houtskool,"briketten;houtswol;rookhout;Houtwol Aanmaak Krullen",one-way,1068_1611580148234
8712100433580,8714100776070,one-way,1069_1611580148234
8712000026486,8712000032364,one-way,106_1611580148234
8712409301160,8712409301177,one-way,1070_1611580148234
flammkuchen,flammkuchendeeg,one-way,1071_1611580148234
shaslick,"kipshaslick;varkensshaslick",one-way,1072_1611580148234
roerstaaf,roerstaafjes,one-way,1073_1611580148234
koolsalade,"Kool Rauwkost",one-way,1074_1611580148234
"mad saus","mad sauce",one-way,1075_1611580148234
,"buffelmozzarella;buffelmozarella;buffel;buffel mozarella;buffel mozzarella;buffelmozerella",multi-way,1076_1611580148234
,"wortel;wortels;bospeen;peen;winterpeen",multi-way,1077_1611580148234
,"vegter's rolletjes;vegter's twentsche;vegter;vegter rolletjes;vegters rolletje;vegter rolletje",multi-way,1078_1611580148234
50412952,5010102116870,one-way,1079_1611580148234
dweiltjes,dweil,one-way,107_1611580148234
8711653001086,8718452243617,one-way,1080_1611580148234
"cranberry saus",cranberrysaus,one-way,1081_1611580148234
snacksauzen,"snacksaus;tomaten ketchup;mayonaise;mosterdsaus;knoflooksaus",one-way,1082_1611580148234
,"heksnkaas;heksenkaas;heksen kaas;heks'nkaas;heks'n",multi-way,1083_1611580148234
8718449005105,8718452243686,one-way,1084_1611580148234
,"pasteibakjes in stervorm;stervormige pasteibakjes;pasteibakje ster;pasteibakjes ster",multi-way,1085_1611580148234
"culi dor","culi d'or",one-way,1086_1611580148234
,"kerst kransjes;chocolade kransjes;chocoladekransjes;kerstkransjes;kerstkransje;kransjes;kerst kransjes;kransen;kerstkrans;kerst krans",multi-way,1087_1611580148234
4012263009894,8718452242931,one-way,1088_1611580148234
rundercarpaccio,"black angus carpaccio",one-way,1089_1611580148234
8718452095537,8718452223138,one-way,108_1611580148234
banketletter,amandelletter,one-way,1090_1611580148234
egeturk,egetürk,one-way,1091_1611580148234
8718449027947,8718452247639,one-way,1092_1611580148234
wildsoep,"wild soep",one-way,1093_1611580148234
,"knoflooksaus;knoflook saus",multi-way,1094_1611580148234
,"Grüner Veltliner;gruner veltliner;grunerveltliner",multi-way,1095_1611580148234
8718449027992,8718452247806,one-way,1096_1611580148234
,"garnalen cocktail;garnalencocktail;hollandse garnalen;cocktail garnalen;roze garnalen",multi-way,1097_1611580148234
,"zilveruitjes;zilverui;zilver ui;zilveruien",multi-way,1098_1611580148234
,"decemberzegels;kerstzegels;postzegels;kerst postzegels;december zegels",multi-way,1099_1611580148234
,"hamburger broodje;hamburgerbrood;hamburger broodjes;hamburgerbroodjes;hamburger brood;hamburgerbroodje;hamburger buns",multi-way,109_1611580148234
fruithapje,fruitreepje;granenreepje,one-way,10_1611580148234
8718449028333,8718452256532,one-way,1100_1611580148234
"alpro kwark","alpro go on",one-way,1101_1611580148234
biscuitbodem,"biscuit bodem",one-way,1102_1611580148234
,"dr kargs;dr. karg's;dr karg's;dr. kargs",multi-way,1103_1611580148234
,"candy canes;zuurstokje;zuurstok;zuurstokken;zuurstokjes",multi-way,1104_1611580148234
"kleine pakjes drinken","Houdbare Halfvolle Melk 6 x 200ml;Campina Langlekker Houdbare Halfvolle Melk Multipack 6 x 200ml",one-way,1105_1611580148234
"blanke hazelnoten","geblancheerde hazelnoten",one-way,1106_1611580148234
,"zonnebloemolie;zonnebloem olie",multi-way,1107_1611580148234
,Sütdiyari;sutdiyari,multi-way,1108_1611580148234
"pakjes drinken","Houdbare Halfvolle Melk 6 x 200ml;Campina Langlekker Houdbare Halfvolle Melk Multipack 6 x 200ml",one-way,1109_1611580148234
"vlees tomaat",vleestomaten,one-way,110_1611580148234
paddenstoelensoep,"paddenstoelen soep",one-way,1110_1611580148234
,flugel;flügel,multi-way,1111_1611580148234
"coca-cola regular","Coca-Cola 1;5L;Coca-Cola 6-pack;6 x 1;5L;Coca-Cola 6 x 330ml;Coca-Cola 12 x 150ml;Coca-Cola 500ml;Coca Cola 250ml;Coca-Cola 330ml;Coca-Cola 2L;Coca-Cola 6 x 250ml;Coca-Cola 8 x 250ml;Coca-Cola Gekoeld 0;5 Liter",one-way,1112_1611580148234
,"St Sever Gele Hoevekip ca. 1400g;Heijs Super Braadkuiken 1400g;diepvries kip;diepvrieskip",multi-way,1113_1611580148234
kersenvlaaivulling,"vlaaifruit kersen",one-way,1114_1611580148234
koffiebekers,"hot cup;beker foam;deksel beker",one-way,1115_1611580148234
kreeftensoep,"kreeften soep",one-way,1116_1611580148234
,"satesaus;sate saus;pindasaus;pinda saus;satésaus;saté saus",multi-way,1117_1611580148234
,Brüggen;bruggen,multi-way,1118_1611580148234
zilverpoets,"HG zilver",one-way,1119_1611580148234
,"carvan cevitan;carvam cevitan;karvan cevitan;karvam cevitan;carvan cevitam;carvam cevitam;karvan cevitam;karvam cevitam;carvan cévitam;carvam cévitam;karvan cévitam;karvam cévitam;carfanzeefitam;carvan sevitan;caravan cevitan",multi-way,111_1611580148234
kerstsoep,"winter topper wild soep;winter topper paddenstoelen soep;winter topper kreeften soep;winter topper knolselderij truffel soep",one-way,1120_1611580148234
,rundervink;rundervinken,multi-way,1121_1611580148234
,rozemarijn;rosemary,multi-way,1122_1611580148234
melkpakjes,"Melk 6 x 200ml",one-way,1123_1611580148234
boerenyoghurt,"boeren vanille yoghurt;boeren yoghurt;boer en land biologische halfvolle yoghurt;boer en land biologische volle yoghurt",one-way,1124_1611580148234
"gehakt kruiden","ovenschotel prei-;ovenschotel bloemkool-;ovenschotel witlof;ovenschotel zuurkool-;dagschotel sperziebonen;dagschotel broccoli-",one-way,1125_1611580148234
"witte thee","white tea",one-way,1126_1611580148234
schilfertruffels,"schilfer truffels",one-way,1127_1611580148234
"ace drink","A+C+E;a.c.e",one-way,1128_1611580148234
8712100433658,8714100776209,one-way,1129_1611580148234
87120158,8712000031138,one-way,112_1611580148234
8718452220526,8718452220533,one-way,1130_1611580148234
,"schilmesjes;aardappelschilmesje;schilmes;schil mes;schilmesje;schilmessen",multi-way,1131_1611580148234
"gebakken aardappel","opbak aardappeltjes;opbakaardappelen",one-way,1132_1611580148234
spiezen,"kipshaslick;biefstukspies;kipdijfiletspies;kebabspies;visspies;spekfakkel;gambaspies;Varkensshaslick;Gehaktballetjesspiesjes;Satespies;Varkenssaté 270g;vegetarische spiesjes",one-way,1133_1611580148234
rowan,"zilver care",one-way,1134_1611580148234
,deo;deodorant,multi-way,1135_1611580148234
,"reeses;reese's",multi-way,1136_1611580148234
,"Löwen Weisse;lowen weisse",multi-way,1137_1611580148234
shaslicksaus,"Saus Fles Schaschlik",one-way,1138_1611580148234
capresesalade,"caprese salade",one-way,1139_1611580148234
"chilli concarne","chili con carne",one-way,113_1611580148234
,"huzarensalade;huzaren salade;huzaren slaatje",multi-way,1140_1611580148234
,"El Bufón;el bufon",multi-way,1141_1611580148234
wyko,wijko,one-way,1142_1611580148234
rundvleessaladeschotel,rundvleesschotel,one-way,1143_1611580148234
,"aardappelschijfjes;aardappel schijfjes;aardappelschijfje",multi-way,1144_1611580148234
,passoa;passoã;passoá,multi-way,1145_1611580148234
aanmaakblok,"aanmaakblokjes;lighter cubes",one-way,1146_1611580148234
slaatje,Lunchsalade,one-way,1147_1611580148234
minipasteibakjes,"mini pasteibakjes",one-way,1148_1611580148234
,latta;lätta,multi-way,1149_1611580148234
"verse pesto","Groene Pesto 100g;Truffel Pesto 100g",one-way,114_1611580148234
caprisonne,capri-sun,one-way,1150_1611580148234
balsamicoparels,"balsamico parels",one-way,1151_1611580148234
,"bruin brood;tarwebrood;meergranenbrood;volkorenbrood;bruine broden;volkoren brood",multi-way,1152_1611580148234
,Löwenbräu;lowenbrau,multi-way,1153_1611580148234
geitenkaas,chavroux,one-way,1154_1611580148234
"ovenschotel spruiten","spruitjes ovenschotel",one-way,1155_1611580148234
"afbakbroodjes wit","petits pains wit;petits pains classiques;petits-pains-rosette;kaiserbroodjes;wit stokbrood",one-way,1156_1611580148234
